Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey,totPop
0,131,0.01085788,0.2199177,6.161042,0,0.1316848,0.9101949,0,0.9520653,0,9.8,0,100
1,134,0.01076563,0.220113,6.430341,0,0.1383857,0.9122534,0,0.953881,0,11.8,0,200
2,88,0.01067174,0.2202184,6.693065,0,0.1430811,0.9109989,0,0.95384,0,1.6,0,300
3,107,0.01074595,0.2209192,6.535897,1,0.1521682,0.9075469,0,0.9516087,0,8.6,0,400
4,99,0.01106424,0.221573,6.499755,1,0.1578937,0.9043389,0,0.949849,0,10.8,0,500
5,92,0.01132676,0.2216616,6.520341,1,0.1622873,0.9027016,0,0.948639,0,3.4,0,600
6,101,0.01167662,0.2211221,6.480356,1,0.1675498,0.9025232,0,0.9471671,0,7,0,700
7,120,0.01190727,0.2209149,6.466125,1,0.1728534,0.9033785,0,0.9463885,0,9.2,0,800
8,123,0.01214478,0.2207228,6.50177,1,0.1773613,0.9044271,0,0.9459785,0,3,0,900
9,121,0.01234986,0.2204961,6.591143,1,0.1798849,0.9046469,0,0.9456328,0,3.6,0,1000
10,136,0.01250932,0.2203915,6.597813,1,0.1827387,0.9044854,0,0.9453307,0,6.2,0,1100
11,144,0.01255334,0.2202999,6.623188,1,0.1853859,0.9048632,0,0.9451518,0,7.8,0,1200
12,126,0.0125555,0.2203228,6.672544,1,0.1872349,0.9049852,0,0.9447607,0,0.8,0,1300
13,154,0.01256718,0.220472,6.66603,1,0.1890515,0.9060214,0,0.9449008,0,6.8,0,1400
14,174,0.0125251,0.220532,6.644458,1,0.1909449,0.9078104,0,0.9452229,0,13.4,0,1500
15,163,0.01253431,0.2206465,6.678558,1,0.1924707,0.9094662,0,0.9454529,0,2.8,0,1600
16,171,0.01252889,0.2207769,6.719774,1,0.1937159,0.9108513,0,0.9456986,0,3,0,1700
17,165,0.01250504,0.2208958,6.736088,1,0.1951973,0.911728,0,0.9457214,0,4.2,0,700
18,165,0.01244829,0.2210335,6.754572,2,0.1965917,0.912743,0,0.9458582,0,6,0,700
19,168,0.01245802,0.2211129,6.768858,2,0.197632,0.9139562,0,0.9459575,0,5.2,0,700
20,164,0.01246383,0.2212219,6.792397,2,0.1986793,0.9147977,0,0.945906,0,5.8,0,100
21,179,0.01244219,0.2214213,6.807971,2,0.1997511,0.9155063,0,0.945737,0,6.6,0,600
