Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey
0,35,0.546065,0.8007352,3.912101,0,0.1456223,0.9437338,0,0.9296207,0,0.4,13.08571
1,35,0.5461636,0.801628,3.888262,0,0.1646707,0.9422639,0,0.9315757,0,0.4,12.70833
2,45,0.5460339,0.8018708,3.754479,0,0.2158671,0.9432622,0,0.9346274,0,2,13.08547
3,49,0.5466005,0.802374,3.684709,0,0.2504153,0.9426319,0,0.9365511,3,0.8,14.46988
4,49,0.5468999,0.8028119,3.688059,0,0.2778607,0.9422889,0,0.9382231,1,1.2,15.51628
5,51,0.5471522,0.8030636,3.68974,0,0.3032412,0.941662,0,0.9395075,1,1.2,16.0188
6,51,0.5473233,0.8032343,3.7084,0,0.3204552,0.9412369,0,0.9403787,1,0.4,16.40694
7,49,0.5476843,0.8034051,3.718734,0,0.3372918,0.9405538,0,0.9416531,2,0.4,16.79781
8,47,0.5479425,0.803496,3.710529,0,0.3537197,0.9390806,0,0.9431565,1,0.4,16.58596
9,48,0.5479982,0.8034642,3.677507,0,0.3740201,0.937629,0,0.9446933,3,1.6,16.49244
10,49,0.5480914,0.8034963,3.646164,0,0.396984,0.9367681,0,0.9454149,2,2,16.36328
11,50,0.5479507,0.803505,3.623978,0,0.4178341,0.9360782,0,0.9462513,4,1.2,16.33452
12,48,0.5478652,0.8034585,3.611439,0,0.4366251,0.9356282,0,0.9471318,4,0.4,15.98525
13,58,0.5477452,0.8032461,3.569437,1,0.4572989,0.9351001,0,0.9480417,3,2,15.48802
14,54,0.5477244,0.8030914,3.544766,1,0.4784862,0.9352551,0,0.9486156,6,2,15.15512
15,54,0.5477348,0.8029299,3.530904,1,0.4984067,0.9354721,0,0.9492335,2,0.4,14.77706
16,53,0.5477953,0.8028515,3.528481,1,0.5161408,0.9355832,0,0.9497104,6,0.4,14.49578
17,50,0.5478328,0.8029015,3.527463,1,0.5315691,0.9354777,0,0.9503339,6,0,14.16951
18,48,0.5478626,0.8028815,3.525211,1,0.5447195,0.9354796,0,0.9507843,2,0,13.89752
19,42,0.5479838,0.8028594,3.512511,1,0.5560675,0.9350805,0,0.9510949,3,0.4,13.65365
20,42,0.5480003,0.802778,3.504857,1,0.5657538,0.9348575,0,0.9513454,4,1.2,13.4867
21,43,0.5479986,0.8026418,3.49003,1,0.5750605,0.9347034,0,0.9511679,0,1.2,13.33743
