Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey
0,40,0.2551128,0.4959749,6.824439,0,0.6844119,0.9450336,0,0.8321444,0,1.2,7.386364
1,50,0.2543403,0.4963796,6.907288,0,0.6684179,0.9372041,0,0.8255863,0,2.4,7.425532
2,56,0.254764,0.4961728,6.995769,0,0.6553959,0.9343277,0,0.8216017,4,1.2,7.26
3,58,0.255196,0.4966342,7.106097,0,0.648376,0.9320893,0,0.8186274,4,0.4,6.843903
4,51,0.2551844,0.4970245,7.164563,0,0.6417121,0.9303493,0,0.8138036,0,1.2,6.6875
5,54,0.2549691,0.4971623,7.18533,0,0.633997,0.9303321,0,0.8120399,6,2.2,6.325807
6,55,0.2548463,0.4973617,7.232783,0,0.6282854,0.930511,0,0.8107272,4,0.4,6.189041
7,57,0.254724,0.4973748,7.286438,0,0.6234203,0.9306671,0,0.8095222,4,0.4,5.881516
8,54,0.2544222,0.4974996,7.275781,0,0.6181845,0.9305506,0,0.8083915,5,1.2,5.767782
9,55,0.2542302,0.4977229,7.27416,0,0.6122123,0.9301315,0,0.8075285,0,2.6,5.636023
10,55,0.2540742,0.4979044,7.310143,1,0.6073573,0.9297907,0,0.8068269,1,0.8,5.528912
11,55,0.2538824,0.4981526,7.356512,1,0.6031594,0.9298459,0,0.8062066,5,0.4,5.46729
12,47,0.2535028,0.4983151,7.404493,1,0.5994244,0.9294959,0,0.8056862,0,0,5.377358
13,50,0.2530198,0.4983745,7.405267,1,0.5953525,0.9284992,0,0.8055228,4,1.2,5.270636
14,55,0.2525738,0.4985369,7.376317,1,0.5906985,0.9278518,0,0.8050829,1,2.6,5.086902
15,57,0.2521504,0.4985666,7.349304,1,0.5864342,0.9272807,0,0.8043038,3,2.6,4.935294
16,54,0.2517391,0.4984796,7.342525,1,0.5818941,0.9264306,0,0.803051,4,1.2,4.792036
17,52,0.2513854,0.4983379,7.344782,1,0.5780438,0.9255329,0,0.8023681,2,0.8,4.65445
18,57,0.2512622,0.4981636,7.319117,1,0.5739836,0.9250048,0,0.8011703,1,2,4.499012
19,59,0.2510841,0.4980487,7.30607,1,0.5700793,0.92463,0,0.7999083,1,2.8,4.344538
20,59,0.2509246,0.4979458,7.311617,1,0.5665827,0.9242943,0,0.7987781,2,0,4.189381
21,51,0.2509024,0.4979395,7.319398,1,0.5638026,0.9240842,0,0.7978795,0,0.4,4.065199
