Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey
0,49,0.503031,0.7072654,7.172854,0,0.2100435,0.9470833,0,0.9294369,0,2.4,0
1,55,0.5031147,0.707503,7.261744,0,0.2371556,0.9423128,0,0.9294538,0,3.6,0
2,55,0.5031405,0.7075762,7.53153,0,0.2455109,0.9408427,0,0.929459,0,1.2,0
3,61,0.5032105,0.7072679,7.609576,0,0.268241,0.9399444,0,0.9304356,0,1.8,0
4,68,0.5030398,0.7075948,7.6429,0,0.2899936,0.9380248,0,0.9328178,0,1.8,0
5,65,0.5027929,0.7079257,7.698639,0,0.3105369,0.9370381,0,0.9346557,0,1.2,0
6,72,0.5024116,0.7076402,7.675731,0,0.3376313,0.9351823,0,0.9362807,0,3,0
7,74,0.5023527,0.7073722,7.68658,1,0.3597013,0.9336159,0,0.9377466,0,1.2,0
8,74,0.5024763,0.7069148,7.703162,1,0.3829858,0.9317821,0,0.9390063,0,1.2,0
9,68,0.5027499,0.7064726,7.74432,1,0.4016508,0.9305605,0,0.9403446,0,1.2,0
10,73,0.5029373,0.7056595,7.734483,1,0.421515,0.9303497,0,0.941569,0,1.8,0
11,73,0.5030048,0.7050822,7.733124,1,0.4391247,0.9300805,0,0.9424447,0,2.4,0
12,63,0.5028945,0.704685,7.748274,1,0.4562464,0.9293911,0,0.943027,0,0,0
13,63,0.502643,0.7043496,7.747524,1,0.4720545,0.9290097,0,0.9435973,0,1.2,0
14,65,0.5024844,0.7041467,7.72822,1,0.4865983,0.9291474,0,0.9441762,0,1.2,0
15,68,0.5023831,0.7038231,7.692375,1,0.5014302,0.9292724,0,0.9444946,0,2.4,0
16,60,0.5022553,0.7035958,7.668778,1,0.5134102,0.9293804,0,0.944677,0,2.4,0
17,50,0.5021315,0.703393,7.669878,1,0.5223785,0.9296229,0,0.9450005,0,0.6,0
18,45,0.5019924,0.7032093,7.682869,1,0.5302593,0.9299829,0,0.9453469,0,0,0
19,43,0.5019413,0.7029621,7.667402,1,0.5377712,0.9307573,0,0.9456703,0,0,0
20,50,0.5017965,0.7026786,7.623676,1,0.5446983,0.9316947,0,0.9460328,0,1.2,0
21,55,0.5016462,0.7023755,7.573386,1,0.5523816,0.9324172,0,0.9463419,0,3.6,0
