Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey
0,33,0.5025082,0.7960021,3.956419,0,0.04374358,0.8893095,0,0.6738009,0,0,2.969697
1,43,0.5022894,0.7962914,3.707288,0,0.1492958,0.8939587,0,0.6728671,0,2,3
2,47,0.5022159,0.7964981,3.664972,0,0.1988244,0.8951997,0,0.6747624,0,1.6,3.02439
3,47,0.5021831,0.7965906,3.721744,0,0.2209667,0.8957545,0,0.6756097,0,0.4,2.870588
4,45,0.5020849,0.7966521,3.751365,0,0.2292545,0.8952305,0,0.6763378,0,0.4,2.971831
5,36,0.5019004,0.7966875,3.760566,0,0.2296341,0.8931458,0,0.6764166,2,0,3.072289
6,31,0.5020711,0.7969048,3.789346,0,0.2286047,0.8908116,0,0.675033,0,0,3.103943
7,30,0.5022087,0.79708,3.809379,0,0.2277752,0.8889306,0,0.6739179,0,0,3.087379
8,35,0.5020981,0.7970856,3.769851,0,0.2405835,0.8866102,0,0.6733558,0,1.4,3.116279
9,30,0.5018844,0.7967919,3.752167,0,0.2490931,0.8855991,0,0.6739675,1,1,3.172043
10,26,0.5020744,0.7962919,3.687727,0,0.2652362,0.8857208,0,0.6753401,0,1.8,3.155779
11,19,0.5022148,0.7958807,3.660322,0,0.279384,0.8862413,0,0.6769194,0,1.4,3.141487
12,18,0.502201,0.7957605,3.63715,0,0.2925593,0.886898,0,0.6782325,0,0.6,3.09885
13,17,0.5023019,0.7955872,3.623245,0,0.3038384,0.8876321,0,0.679628,0,0.6,3.053097
14,12,0.50213,0.795395,3.613489,0,0.3137233,0.8884187,0,0.6806279,0,0,3.017241
15,10,0.5019763,0.7952234,3.604922,0,0.3208684,0.889258,0,0.6813983,1,0,2.974684
16,8,0.5018528,0.7952019,3.599666,0,0.326113,0.8898676,0,0.6815813,0,0,2.954357
17,7,0.5017325,0.7951015,3.596153,0,0.3304322,0.8902332,0,0.6818705,0,0,2.936605
18,6,0.5015913,0.7950807,3.590941,0,0.3351614,0.8908063,0,0.6823571,0,0,2.929293
19,9,0.5013084,0.7952949,3.570917,0,0.3442009,0.8917089,0,0.6830019,0,0.8,2.928571
20,9,0.5010697,0.7954652,3.553771,0,0.3519231,0.8923699,0,0.6836364,1,0,2.933594
21,8,0.5008384,0.7956302,3.542612,0,0.3594076,0.8930107,0,0.6842514,0,0,2.973077
