Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey
0,13,0.2554862,0.5013732,3.33244,0,0.4517353,0.4824631,0.1892124,0.5873768,0,0,1.384615
1,17,0.2544412,0.4987048,3.175738,0,0.4514035,0.4884999,0.1891732,0.583135,0,0.8,2.566667
2,17,0.2541521,0.4979667,3.219697,0,0.4513117,0.4901697,0.1891623,0.5819617,0,0,2.702128
3,20,0.2534765,0.4974144,3.23287,0,0.4540655,0.4931255,0.1895103,0.5865552,2,0.6,3.179105
4,26,0.2540941,0.4958354,3.14865,0,0.4578514,0.4934669,0.1900785,0.5895724,1,1.8,3.086021
5,26,0.2544419,0.4949464,3.165184,0,0.459983,0.4936591,0.1903985,0.5912711,2,1.2,3.10084
6,26,0.2546649,0.4943762,3.213884,0,0.4613501,0.4937823,0.1906036,0.5923606,0,0,2.993104
7,26,0.2548201,0.4939794,3.250806,0,0.4623016,0.4938681,0.1907464,0.5931188,2,0,2.94152
8,29,0.2549937,0.4941921,3.227399,0,0.4632816,0.4946826,0.1911888,0.5931696,3,0.6,2.92
9,30,0.2550979,0.4942509,3.181536,0,0.4637347,0.4964462,0.1921152,0.594889,2,1.4,3.008696
10,30,0.2554614,0.4941785,3.171212,1,0.4641286,0.4981012,0.1930049,0.5972605,0,1.2,3.046154
11,32,0.2559273,0.4942297,3.165826,1,0.464176,0.4988728,0.1937795,0.5985621,0,0,3.075342
12,32,0.2563012,0.4942707,3.175976,1,0.464214,0.4994919,0.194401,0.5996066,2,0.4,3.098765
13,29,0.2567821,0.4946201,3.188121,1,0.4642118,0.4996661,0.1947225,0.6009766,4,0,3.132394
14,31,0.2571857,0.4949132,3.203457,1,0.46421,0.4998122,0.1949924,0.6021265,2,0.4,3.126943
15,31,0.2575293,0.4951628,3.218447,1,0.4642084,0.4999367,0.1952221,0.6031054,1,0,3.141487
16,30,0.2578549,0.4953921,3.237082,1,0.4641217,0.5002717,0.1954553,0.6039235,2,0,3.176734
17,36,0.2580401,0.4958292,3.233443,1,0.4643849,0.4998086,0.1959479,0.6048749,3,1.2,3.250518
18,36,0.2581996,0.4962056,3.237901,1,0.4646116,0.4994097,0.1963721,0.6056944,0,0,3.283237
19,36,0.2583384,0.4965332,3.247342,1,0.4648089,0.4990625,0.1967413,0.6064075,1,0,3.338739
20,34,0.2585472,0.4967974,3.259296,1,0.4656187,0.4988048,0.196934,0.6069632,1,0,3.359932
21,32,0.2586704,0.4969516,3.266699,1,0.4662178,0.4984932,0.19726,0.6072378,0,0,3.386473
