Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey
0,206,0.2473986,0.4987598,6.756471,0,0.194004,0.9261659,0,0.9524904,0,12,0
1,220,0.2477821,0.4984688,6.972716,0,0.2044662,0.9250022,0,0.9520961,0,14.8,0
2,190,0.24817,0.4989461,7.228162,0,0.2090909,0.9256585,0,0.9511943,0,3.2,0
3,177,0.2485851,0.4990699,7.318229,0,0.2209983,0.9255801,0,0.9501821,0,3.6,0
4,183,0.2488912,0.4992968,7.344829,0,0.2323246,0.9257942,0,0.9495197,0,4.8,0
5,186,0.249243,0.4998066,7.192696,0,0.256124,0.924114,0,0.9486816,0,7.8,0
6,200,0.2495722,0.500214,7.141446,1,0.2756847,0.9230654,0,0.9481969,0,14,0
7,185,0.2498139,0.5003989,7.17555,1,0.290916,0.9229158,0,0.9483079,0,2.4,0
8,173,0.25019,0.5005333,7.223685,1,0.3037541,0.9228356,0,0.9483822,0,3.8,0
9,180,0.250417,0.5007941,7.240831,1,0.3171095,0.9229184,0,0.94837,0,6.2,0
10,183,0.2505828,0.5010387,7.214131,1,0.3317161,0.9226997,0,0.9485872,0,4.8,0
11,195,0.2507457,0.5012279,7.217521,1,0.3446468,0.9228926,0,0.9486976,0,9.6,0
12,188,0.2506569,0.5013112,7.232026,1,0.3558092,0.9228923,0,0.9487021,0,3.2,0
13,167,0.2505748,0.5013766,7.269566,1,0.3651302,0.9229759,0,0.9485333,0,3.6,0
14,165,0.2505448,0.5014223,7.272568,1,0.3744587,0.9233794,0,0.9483218,0,5.6,0
15,163,0.2505454,0.5014888,7.270017,1,0.3823488,0.9237515,0,0.9483163,0,6,0
16,199,0.2504962,0.5015445,7.250526,1,0.3906163,0.9240083,0,0.9482854,0,10,0
17,189,0.2505016,0.5015678,7.252837,1,0.3974918,0.9241893,0,0.9482674,0,5.2,0
18,174,0.2505095,0.5015267,7.280474,1,0.4034876,0.9243519,0,0.9482462,0,2.8,0
19,169,0.2504429,0.5015321,7.295366,1,0.4084717,0.9246169,0,0.948325,0,3,0
20,162,0.2504298,0.5015095,7.300667,1,0.4128581,0.9248503,0,0.9485256,0,4.8,0
21,185,0.25038,0.5014175,7.290321,1,0.4171909,0.9249015,0,0.9487339,0,8.8,0
