Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey
0,17,0.1052004,0.2987012,6.50445,0,0.1643206,0.9624773,0,0.9661543,0,1.4,0
1,20,0.1068876,0.2988957,6.940797,0,0.1820204,0.9655197,0,0.9653677,0,2,0
2,20,0.1073908,0.2989537,7.511887,0,0.1872993,0.9664271,0,0.9651332,0,0.6,0
3,20,0.1076326,0.2989816,7.94111,0,0.1898359,0.9668631,0,0.9650205,0,0,0
4,22,0.1091386,0.2984824,8.092453,1,0.1963971,0.9647429,0,0.9609078,0,0.6,0
5,31,0.1083628,0.2983237,7.886188,1,0.2099826,0.961749,0,0.9582396,0,2.4,0
6,30,0.1078797,0.2982249,7.899981,1,0.2184414,0.9598848,0,0.9565782,0,1.2,0
7,28,0.1075986,0.2983489,8.020592,1,0.2258944,0.9581698,0,0.9549677,0,0,0
8,28,0.1073907,0.2984406,8.145116,1,0.2314061,0.9569014,0,0.9537767,0,0,0
9,31,0.1071234,0.2986505,8.128408,1,0.2356634,0.9540565,0,0.9530383,0,1.2,0
10,31,0.1069159,0.2988134,8.151134,1,0.2389677,0.9518484,0,0.9524652,0,0,0
11,44,0.1061371,0.2994826,8.005353,1,0.2465129,0.9486251,0,0.9516714,0,3,0
12,40,0.1055972,0.2998025,7.979568,1,0.2520902,0.9465402,0,0.9514568,0,1.8,0
13,38,0.1050833,0.3000652,8.040779,1,0.2561058,0.9445952,0,0.9513029,0,0,0
14,37,0.1046999,0.3003092,8.134644,1,0.2599751,0.9433864,0,0.95117,0,0,0
15,32,0.1042832,0.3006685,8.199494,1,0.2624149,0.9419304,0,0.9510593,0,0,0
16,38,0.1036256,0.3012168,8.101778,1,0.2649786,0.9413958,0,0.9519804,0,2.4,0
17,30,0.1031773,0.301649,8.059813,1,0.2670523,0.9411684,0,0.9523817,0,2.4,0
18,29,0.1028158,0.3019918,8.055598,1,0.2690261,0.9408604,0,0.9528305,0,0,0
19,29,0.1024897,0.302301,8.07679,1,0.2708066,0.9405825,0,0.9532353,0,0,0
20,25,0.1021432,0.3025995,8.087193,1,0.2723446,0.9403027,0,0.9535788,0,0,0
21,29,0.1018829,0.3030947,7.998989,1,0.2729623,0.9392955,0,0.9542822,0,2.4,0
