Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey
0,4,0.1160859,0.2884941,7.783531,0,0.02980161,0.9472504,0,0.9277976,0,0,8.5
1,7,0.1077112,0.2857757,6.422544,0,0.09730265,0.9520288,0,0.9380307,0,0.6,8.909091
2,7,0.1058501,0.2851716,6.377635,0,0.1123029,0.9530907,0,0.9403048,0,0.6,8.111111
3,7,0.1050312,0.2849058,6.545921,0,0.118903,0.9535579,0,0.9413053,0,0,8.12
4,7,0.1045706,0.2847563,6.712272,0,0.1226155,0.9538207,0,0.9418682,0,0,8.3125
5,7,0.1042753,0.2846604,6.818908,0,0.1249954,0.9539891,0,0.9422289,0,0,8.538462
6,11,0.1010488,0.2856312,6.127847,1,0.1537432,0.9485412,0,0.9491518,0,1.6,8.981482
7,18,0.1005603,0.2871816,5.806064,1,0.1749628,0.9444521,0,0.9539545,0,2.2,9.208333
8,18,0.1002672,0.2881119,5.785033,1,0.1876945,0.9419986,0,0.956836,0,0,9.766666
9,18,0.1000719,0.288732,5.893725,1,0.1961823,0.940363,0,0.9587572,2,0,9.981482
10,18,0.09993229,0.289175,5.967026,1,0.2022451,0.9391947,0,0.9601293,0,0,10.24603
11,22,0.09936373,0.2896751,5.911287,1,0.2082442,0.936295,0,0.9619495,0,0,10.7027
12,27,0.09887515,0.2898568,5.818038,1,0.2153174,0.9364761,0,0.9621666,0,2,11.36571
13,25,0.09834245,0.2901873,5.852581,1,0.2227046,0.9361392,0,0.9629826,0,0.6,11.63
14,25,0.09792813,0.2904444,5.960078,1,0.2284503,0.9358771,0,0.9636172,0,0,11.83556
15,25,0.09759667,0.2906501,6.059667,1,0.2330468,0.9356675,0,0.9641249,1,0,12.032
16,25,0.09732547,0.2908184,6.13821,1,0.2368076,0.935496,0,0.9645404,0,0,12.35273
17,36,0.09732737,0.2914141,6.095058,1,0.2422345,0.9338388,0,0.9649087,3,2.2,12.78778
18,35,0.09730314,0.2918344,6.125972,1,0.2469033,0.9323304,0,0.9650999,0,1.4,12.98266
19,35,0.09728337,0.2921776,6.202043,1,0.2507144,0.9310992,0,0.9652561,0,0,13.12074
20,35,0.09726692,0.2924629,6.286195,1,0.2538842,0.9300751,0,0.965386,1,0,13.18029
21,35,0.09725302,0.292704,6.352873,1,0.2565619,0.92921,0,0.9654956,1,0,13.26608
