Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey
0,27,0.522962,0.705259,4.603971,0,0.8119966,0.9284709,0.05046086,0.2771628,0,0,2.814815
1,34,0.5235727,0.7059259,4.330661,0,0.8005126,0.9200633,0.05068889,0.2714678,0,1.4,3.147541
2,34,0.5237464,0.7061155,4.316606,0,0.7972487,0.9176738,0.0507537,0.2698492,0,0.6,3.315789
3,34,0.5238284,0.7062051,4.355092,0,0.7957053,0.9165439,0.05078435,0.2690839,0,0,3.27907
4,38,0.5241838,0.7055259,4.319589,0,0.7912735,0.9173332,0.05069368,0.2680662,4,0.8,3.353293
5,38,0.5244073,0.7050985,4.314187,0,0.7884847,0.9178299,0.05063664,0.2674258,0,0.4,3.126829
6,38,0.5245609,0.7048047,4.324907,0,0.7865681,0.9181712,0.05059743,0.2669857,1,0,2.967078
7,38,0.524673,0.7045904,4.33495,0,0.7851699,0.9184203,0.05056883,0.2666647,0,0,2.88968
8,40,0.5245862,0.7044851,4.325942,0,0.7836621,0.9191171,0.05053021,0.2674348,1,0.4,2.975078
9,39,0.5244645,0.7044156,4.322763,0,0.7824322,0.9200748,0.05048447,0.2684325,7,0,2.975
10,40,0.5240643,0.704114,4.31379,0,0.7805257,0.9205067,0.05046762,0.2692449,0,0.6,2.9075
11,40,0.5237249,0.7039286,4.312357,0,0.7787224,0.9199911,0.05045721,0.2693916,3,1,2.818182
12,38,0.5235778,0.7036645,4.326786,0,0.7773564,0.9195004,0.050411,0.2690114,0,0,2.717573
13,40,0.5232949,0.7032709,4.331316,0,0.7760871,0.9186208,0.05037561,0.2688491,0,0,2.644788
14,39,0.5230334,0.7028725,4.333928,0,0.7756783,0.9181165,0.05032353,0.2685104,1,0.4,2.536804
15,37,0.5228965,0.7024602,4.337456,0,0.7754072,0.9174009,0.05026051,0.268287,0,0.4,2.436027
16,36,0.5227022,0.702169,4.343498,0,0.7753909,0.9166501,0.05020403,0.2680484,1,0,2.331746
17,31,0.5224971,0.7018259,4.358814,0,0.7746826,0.9158146,0.05017872,0.2683243,2,0,2.263237
18,31,0.5223104,0.7015135,4.36381,0,0.7740378,0.915054,0.05015568,0.2685754,0,0,2.196532
19,28,0.5222227,0.701141,4.363945,0,0.7729211,0.9145901,0.05016153,0.2686855,2,0,2.143055
20,27,0.5220731,0.7007631,4.362494,0,0.7713673,0.9135541,0.05016393,0.2689274,0,0.6,2.091031
21,25,0.5218567,0.7004398,4.361968,0,0.7694659,0.9125748,0.05016547,0.26904,0,0,2.042746
