Hours,Pop,MinT,MaxT,Speed,Gen,Agg,D1,D2,FM,KPS,BPS,nPrey
0,22,0.01235445,0.2266462,2.994107,0,0.6020531,0.7756209,0.188043,0.326982,0,0.8,3.545455
1,22,0.01235445,0.2266462,3.184304,0,0.6020531,0.7756209,0.188043,0.326982,7,0.8,4.318182
2,29,0.01416127,0.2257918,3.231942,0,0.5673905,0.7837831,0.1882432,0.3256384,3,1.4,4.821918
3,29,0.01494069,0.2254232,3.340049,0,0.552438,0.7873041,0.1883296,0.3250588,4,0,4.676471
4,33,0.0149404,0.224782,3.390357,0,0.5341456,0.7889774,0.1887183,0.3238111,5,0.8,4.385185
5,31,0.01512022,0.2241542,3.448255,0,0.519788,0.789789,0.1888691,0.3222525,5,0.8,4.331326
6,31,0.01524345,0.2237239,3.505119,0,0.509949,0.7903452,0.1889724,0.3211845,2,0,4.177665
7,31,0.01533318,0.2234107,3.549783,0,0.5027855,0.7907501,0.1890477,0.3204068,1,0,4.122807
8,28,0.01546561,0.2231432,3.586725,0,0.4964223,0.7889453,0.1892972,0.3199143,0,0,4.035156
9,28,0.01545842,0.2224054,3.562585,0,0.4843882,0.7865949,0.1899882,0.317091,4,0.6,3.857143
10,30,0.01550138,0.2217255,3.553195,0,0.4739754,0.7848073,0.1903916,0.3151291,4,0.6,3.716088
11,29,0.01558182,0.2211103,3.560273,1,0.4648858,0.7837381,0.1907853,0.3135905,2,0,3.635838
12,28,0.01569166,0.2205748,3.572477,1,0.4569582,0.7831195,0.1911854,0.3121627,6,0,3.593583
13,27,0.01575173,0.2202125,3.58365,1,0.4497457,0.7830547,0.1915548,0.3107505,3,0,3.503741
14,26,0.01580612,0.2199545,3.590256,1,0.441916,0.7818792,0.1919098,0.3099939,1,0.6,3.395785
15,32,0.01579383,0.2197843,3.577014,1,0.4324767,0.7822659,0.1925847,0.3100461,1,1.8,3.305011
16,30,0.01584769,0.2195662,3.573268,1,0.4236843,0.783116,0.1930999,0.3098261,3,0,3.206544
17,30,0.01589532,0.2193733,3.577065,1,0.4159083,0.7838679,0.1935555,0.3096315,3,0,3.123314
18,27,0.01576141,0.2190214,3.559285,1,0.4072745,0.7849329,0.1941596,0.3095761,2,0.8,2.996337
19,25,0.01550329,0.2187852,3.530269,1,0.3999601,0.7854571,0.1945756,0.3089126,1,0.8,2.875657
20,31,0.01526938,0.2183951,3.493385,1,0.3910456,0.7863873,0.1949876,0.3088049,1,1.8,2.740864
21,28,0.01509971,0.2181841,3.47155,1,0.3837941,0.7878177,0.1954028,0.3091849,2,0,2.638095
